activity_uuid,user_id,external_activity_id,abandoned,historical_completion_rate,historical_abandonment_rate,historical_avg_pause_count,historical_avg_duration,difficulty_level,activity_abandonment_rate,avg_pauses_activity,hour_of_day,day_of_week,days_since_last_activity,avg_days_between_sessions,current_pause_count,cluster_completion_rate,cluster_abandonment_rate,avg_frustration,avg_visual_fatigue,distraction_events_per_hour
act_1001_28,1001,102,0,0.7765,0.2235,2.0,4482.1059,3,0.3245,4.6546,9,5,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_29,1001,107,0,0.7765,0.2235,2.0,4482.1059,3,0.3758,4.7893,9,5,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_30,1001,106,0,0.7765,0.2235,2.0,4482.1059,2,0.3516,4.8132,9,5,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_20,1001,101,0,0.7765,0.2235,2.0,4482.1059,1,0.3567,4.7353,9,5,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_17,1001,106,0,0.7765,0.2235,2.0,4482.1059,2,0.3516,4.8132,9,5,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_26,1001,104,1,0.7765,0.2235,2.0,4482.1059,2,0.3437,4.8056,9,5,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_16,1001,102,0,0.7765,0.2235,2.0,4482.1059,3,0.3245,4.6546,8,5,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_18,1001,108,1,0.7765,0.2235,2.0,4482.1059,4,0.3287,4.6322,8,5,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_15,1001,104,1,0.7765,0.2235,2.0,4482.1059,2,0.3437,4.8056,8,5,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_27,1001,108,0,0.7765,0.2235,2.0,4482.1059,4,0.3287,4.6322,8,5,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_13,1001,105,1,0.7765,0.2235,2.0,4482.1059,2,0.3338,4.6718,8,5,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_69,1001,101,1,0.7765,0.2235,2.0,4482.1059,1,0.3567,4.7353,9,4,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_70,1001,106,0,0.7765,0.2235,2.0,4482.1059,2,0.3516,4.8132,9,4,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_66,1001,103,0,0.7765,0.2235,2.0,4482.1059,1,0.3628,4.7655,9,4,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_67,1001,105,0,0.7765,0.2235,2.0,4482.1059,2,0.3338,4.6718,9,4,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_72,1001,107,1,0.7765,0.2235,2.0,4482.1059,3,0.3758,4.7893,9,4,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_68,1001,104,0,0.7765,0.2235,2.0,4482.1059,2,0.3437,4.8056,9,4,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_65,1001,102,0,0.7765,0.2235,2.0,4482.1059,3,0.3245,4.6546,8,4,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_71,1001,108,1,0.7765,0.2235,2.0,4482.1059,4,0.3287,4.6322,8,4,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_77,1001,105,0,0.7765,0.2235,2.0,4482.1059,2,0.3338,4.6718,9,3,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_75,1001,103,0,0.7765,0.2235,2.0,4482.1059,1,0.3628,4.7655,9,3,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_73,1001,104,1,0.7765,0.2235,2.0,4482.1059,2,0.3437,4.8056,9,3,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_76,1001,108,0,0.7765,0.2235,2.0,4482.1059,4,0.3287,4.6322,9,3,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_78,1001,101,0,0.7765,0.2235,2.0,4482.1059,1,0.3567,4.7353,9,3,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_79,1001,107,0,0.7765,0.2235,2.0,4482.1059,3,0.3758,4.7893,8,3,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_74,1001,102,0,0.7765,0.2235,2.0,4482.1059,3,0.3245,4.6546,8,3,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_37,1001,107,0,0.7765,0.2235,2.0,4482.1059,3,0.3758,4.7893,9,2,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_44,1001,103,1,0.7765,0.2235,2.0,4482.1059,1,0.3628,4.7655,9,2,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_41,1001,104,0,0.7765,0.2235,2.0,4482.1059,2,0.3437,4.8056,9,2,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_40,1001,101,0,0.7765,0.2235,2.0,4482.1059,1,0.3567,4.7353,9,2,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_43,1001,105,0,0.7765,0.2235,2.0,4482.1059,2,0.3338,4.6718,8,2,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_38,1001,106,0,0.7765,0.2235,2.0,4482.1059,2,0.3516,4.8132,8,2,0,3,2,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_39,1001,108,1,0.7765,0.2235,2.0,4482.1059,4,0.3287,4.6322,8,2,0,3,3,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1001_42,1001,102,0,0.7765,0.2235,2.0,4482.1059,3,0.3245,4.6546,8,2,0,3,1,0.7785627197194737,0.22143728028052634,0.1701498141687506,0.3519,0.0301
act_1002_115,1002,101,0,0.8041,0.1959,1.8763,3778.2784,1,0.3567,4.7353,9,3,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_113,1002,107,0,0.8041,0.1959,1.8763,3778.2784,3,0.3758,4.7893,9,3,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_110,1002,102,0,0.8041,0.1959,1.8763,3778.2784,3,0.3245,4.6546,9,3,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_114,1002,103,0,0.8041,0.1959,1.8763,3778.2784,1,0.3628,4.7655,9,3,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_117,1002,108,0,0.8041,0.1959,1.8763,3778.2784,4,0.3287,4.6322,9,3,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_112,1002,105,1,0.8041,0.1959,1.8763,3778.2784,2,0.3338,4.6718,9,3,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_116,1002,104,0,0.8041,0.1959,1.8763,3778.2784,2,0.3437,4.8056,8,3,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_111,1002,106,0,0.8041,0.1959,1.8763,3778.2784,2,0.3516,4.8132,8,3,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_105,1002,101,0,0.8041,0.1959,1.8763,3778.2784,1,0.3567,4.7353,9,2,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_104,1002,104,0,0.8041,0.1959,1.8763,3778.2784,2,0.3437,4.8056,9,2,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_107,1002,106,0,0.8041,0.1959,1.8763,3778.2784,2,0.3516,4.8132,9,2,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_106,1002,108,0,0.8041,0.1959,1.8763,3778.2784,4,0.3287,4.6322,9,2,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_103,1002,103,1,0.8041,0.1959,1.8763,3778.2784,1,0.3628,4.7655,9,2,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_109,1002,102,0,0.8041,0.1959,1.8763,3778.2784,3,0.3245,4.6546,9,2,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_108,1002,107,1,0.8041,0.1959,1.8763,3778.2784,3,0.3758,4.7893,8,2,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_181,1002,107,0,0.8041,0.1959,1.8763,3778.2784,3,0.3758,4.7893,9,4,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_179,1002,103,1,0.8041,0.1959,1.8763,3778.2784,1,0.3628,4.7655,9,4,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_180,1002,101,0,0.8041,0.1959,1.8763,3778.2784,1,0.3567,4.7353,9,4,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_178,1002,102,0,0.8041,0.1959,1.8763,3778.2784,3,0.3245,4.6546,8,4,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_182,1002,108,0,0.8041,0.1959,1.8763,3778.2784,4,0.3287,4.6322,8,4,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_154,1002,107,1,0.8041,0.1959,1.8763,3778.2784,3,0.3758,4.7893,9,7,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_148,1002,106,0,0.8041,0.1959,1.8763,3778.2784,2,0.3516,4.8132,9,7,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_150,1002,104,1,0.8041,0.1959,1.8763,3778.2784,2,0.3437,4.8056,9,7,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_153,1002,101,0,0.8041,0.1959,1.8763,3778.2784,1,0.3567,4.7353,9,7,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_147,1002,108,0,0.8041,0.1959,1.8763,3778.2784,4,0.3287,4.6322,9,7,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_149,1002,102,0,0.8041,0.1959,1.8763,3778.2784,3,0.3245,4.6546,9,7,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_152,1002,103,0,0.8041,0.1959,1.8763,3778.2784,1,0.3628,4.7655,9,7,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_151,1002,105,0,0.8041,0.1959,1.8763,3778.2784,2,0.3338,4.6718,8,7,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_86,1002,101,0,0.8041,0.1959,1.8763,3778.2784,1,0.3567,4.7353,9,6,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_87,1002,107,1,0.8041,0.1959,1.8763,3778.2784,3,0.3758,4.7893,9,6,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_121,1002,106,0,0.8041,0.1959,1.8763,3778.2784,2,0.3516,4.8132,9,6,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_90,1002,106,0,0.8041,0.1959,1.8763,3778.2784,2,0.3516,4.8132,9,6,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_123,1002,101,0,0.8041,0.1959,1.8763,3778.2784,1,0.3567,4.7353,9,6,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_120,1002,108,1,0.8041,0.1959,1.8763,3778.2784,4,0.3287,4.6322,9,6,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_88,1002,105,0,0.8041,0.1959,1.8763,3778.2784,2,0.3338,4.6718,9,6,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_118,1002,103,0,0.8041,0.1959,1.8763,3778.2784,1,0.3628,4.7655,9,6,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_119,1002,107,0,0.8041,0.1959,1.8763,3778.2784,3,0.3758,4.7893,9,6,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_122,1002,104,1,0.8041,0.1959,1.8763,3778.2784,2,0.3437,4.8056,8,6,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_89,1002,104,0,0.8041,0.1959,1.8763,3778.2784,2,0.3437,4.8056,8,6,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_97,1002,106,0,0.8041,0.1959,1.8763,3778.2784,2,0.3516,4.8132,9,5,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_96,1002,101,1,0.8041,0.1959,1.8763,3778.2784,1,0.3567,4.7353,9,5,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_102,1002,107,0,0.8041,0.1959,1.8763,3778.2784,3,0.3758,4.7893,9,5,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_99,1002,104,0,0.8041,0.1959,1.8763,3778.2784,2,0.3437,4.8056,9,5,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_100,1002,108,0,0.8041,0.1959,1.8763,3778.2784,4,0.3287,4.6322,9,5,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_98,1002,102,0,0.8041,0.1959,1.8763,3778.2784,3,0.3245,4.6546,8,5,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_101,1002,103,1,0.8041,0.1959,1.8763,3778.2784,1,0.3628,4.7655,8,5,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_139,1002,103,0,0.8041,0.1959,1.8763,3778.2784,1,0.3628,4.7655,9,4,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_141,1002,102,0,0.8041,0.1959,1.8763,3778.2784,3,0.3245,4.6546,9,4,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_140,1002,106,0,0.8041,0.1959,1.8763,3778.2784,2,0.3516,4.8132,9,4,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_138,1002,101,0,0.8041,0.1959,1.8763,3778.2784,1,0.3567,4.7353,9,4,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_137,1002,107,1,0.8041,0.1959,1.8763,3778.2784,3,0.3758,4.7893,9,4,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_136,1002,105,0,0.8041,0.1959,1.8763,3778.2784,2,0.3338,4.6718,9,4,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_125,1002,107,1,0.8041,0.1959,1.8763,3778.2784,3,0.3758,4.7893,9,2,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_124,1002,103,0,0.8041,0.1959,1.8763,3778.2784,1,0.3628,4.7655,9,2,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_130,1002,101,0,0.8041,0.1959,1.8763,3778.2784,1,0.3567,4.7353,9,2,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_127,1002,106,0,0.8041,0.1959,1.8763,3778.2784,2,0.3516,4.8132,9,2,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_129,1002,108,0,0.8041,0.1959,1.8763,3778.2784,4,0.3287,4.6322,9,2,0,3,1,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_126,1002,105,0,0.8041,0.1959,1.8763,3778.2784,2,0.3338,4.6718,9,2,0,3,2,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_128,1002,102,0,0.8041,0.1959,1.8763,3778.2784,3,0.3245,4.6546,8,2,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
act_1002_157,1002,107,0,0.8041,0.1959,1.8763,3778.2784,3,0.3758,4.7893,9,7,0,3,3,0.7769366503912655,0.22306334960873453,0.20629770802050548,0.3368,0.0247
