user_id,completion_rate,avg_frustration,avg_visual_attention,avg_visual_fatigue,distraction_events_per_hour,drowsiness_events_per_hour,avg_pause_count,intervention_count_per_activity,avg_engagement_score,preference_easy_activities
1022,0.7432,0.19456595292120624,77.54437090867867,0.3313,0.0194,0.0025,2.1622,1.2973,1.9279,0.6667
1023,0.791,0.22515687562417294,77.51517869147702,0.3362,0.0388,0.0041,2.1493,1.6269,1.9275,0.7333
1024,0.8041,0.2215426929191377,77.460242504628,0.3608,0.0333,0.0043,2.0825,1.8763,1.9016,0.76
1025,0.7941,0.19878958835514313,77.52008412912352,0.367,0.0195,0.0029,1.9804,1.9608,1.8862,0.6667
1026,0.7843,0.3262062335438408,70.08282230965234,0.3261,0.0436,0.0025,4.2941,1.8627,1.6601,0.8333
1027,0.6909,0.3192455198054444,70.26768982247131,0.3425,0.0371,0.002,4.5818,1.8545,1.5634,0.7333
1028,0.6111,0.3129663677607182,70.97500914421634,0.3043,0.0305,0.0011,4.5556,1.2361,1.6329,0.7059
1029,0.6471,0.32582364738851355,70.08268595893603,0.3172,0.0331,0.0014,4.3235,1.6618,1.6377,0.5
1030,0.7869,0.28889472224701074,68.84765691892795,0.3286,0.0553,0.0026,4.6066,1.5902,1.5735,0.7
1031,0.7015,0.3139941381028861,68.5802470435781,0.3008,0.0357,0.0014,4.4776,1.4627,1.6231,0.75
1032,0.7381,0.30775102069403265,70.33171549249202,0.3298,0.0423,0.0017,4.4643,1.3214,1.6742,0.8
1033,0.7959,0.2701461871719768,71.36750031332684,0.3483,0.1022,0.005,4.449,1.5306,1.7073,0.7333
1034,0.6842,0.34576021042107546,69.27800030530241,0.3527,0.0441,0.0025,4.386,1.386,1.6888,0.6923
1035,0.7375,0.2990475443731148,69.31930607581893,0.3356,0.0411,0.0019,4.6,1.4375,1.5997,0.7
1036,0.6182,0.2822187517386353,69.99304402385123,0.3445,0.0304,0.0016,4.4909,1.9455,1.7151,0.6667
1037,0.6607,0.32118946933948817,69.50656485101979,0.3524,0.0385,0.002,4.375,1.4821,1.5817,0.7143
1038,0.7229,0.3048967954822527,72.10065918238976,0.3341,0.0463,0.0022,4.5301,1.8554,1.6151,0.6957
1039,0.717,0.3148037489905233,69.27704362266569,0.3439,0.2817,0.0153,4.8302,1.7736,1.6227,0.6429
1040,0.6615,0.3023757810241606,72.4296564441517,0.3206,0.042,0.0016,4.3077,1.7231,1.6979,0.7059
1041,0.7231,0.34687102059523267,71.5991634686788,0.3567,0.0901,0.0038,4.3692,1.6615,1.6633,0.6471
1042,0.6301,0.31808434498130705,70.27379204245175,0.3269,0.0287,0.0016,4.7534,1.6712,1.6717,0.7368
1043,0.6207,0.29489534159462966,70.88055092315379,0.3172,0.0325,0.0013,4.6379,1.5345,1.5609,0.625
1044,0.6706,0.301573751341692,70.15937818073327,0.3316,0.0325,0.0016,4.5765,1.6706,1.6229,0.76
1045,0.7636,0.3190467979994937,67.51453540970405,0.3436,0.0497,0.0022,4.4727,1.9455,1.6564,0.8571
1046,0.6269,0.31842351584665235,68.71680243707472,0.3387,0.0443,0.0019,4.4627,1.5672,1.6548,0.6471
1047,0.7679,0.32301109255506444,69.11759951175787,0.3221,0.0587,0.0028,4.0536,1.9821,1.6442,0.7857
1048,0.6818,0.294057039734554,71.46303864910264,0.3201,0.0336,0.0014,4.6212,1.6212,1.6535,0.6667
1049,0.7564,0.32949265030689595,68.45848226163726,0.3177,0.0588,0.0028,4.5641,1.5769,1.6501,0.6667
1050,0.8,0.3093088658179267,70.68172404402394,0.3576,0.0749,0.004,4.4727,1.8182,1.6271,0.7647
1051,0.8103,0.2935253549613664,70.8369244393419,0.3346,0.064,0.0031,4.3621,1.3966,1.6333,0.7857
1052,0.7119,0.32205224963609647,70.36766595876172,0.324,0.0515,0.0022,4.4407,1.5424,1.6161,0.7273
1053,0.7377,0.30311179038272984,71.20255297677453,0.3455,0.0412,0.0022,4.3607,1.7705,1.664,0.6667
1054,0.6667,0.3193848123693876,69.95655282793892,0.3424,0.0374,0.002,4.4359,1.3333,1.6404,0.6111
1055,0.5663,0.3214011092005405,69.51896489853611,0.331,0.0257,0.0014,4.494,1.5904,1.6199,0.5263
1056,0.3478,0.4033540906417496,56.90311597682562,0.2898,0.0302,0.0005,7.0,1.0652,1.4912,0.25
1057,0.4865,0.3552291260825263,57.184191180399374,0.33,0.0511,0.001,7.973,1.3243,1.4916,0.5
1058,0.3171,0.38460037528591995,56.16634729329277,0.2904,0.0436,0.0006,7.8049,1.0488,1.5294,0.2
1059,0.4043,0.4323949314731215,57.49695117250858,0.3149,0.0428,0.0007,7.4468,1.1277,1.474,0.4167
1060,0.5588,0.3803668432187714,57.03494253734614,0.3255,0.047,0.0007,8.2647,1.3529,1.5,0.7778
1061,0.4118,0.42769761164398756,56.52595532174204,0.3505,0.0674,0.0011,7.5294,1.3333,1.5025,0.5
1062,0.4375,0.413848472648943,56.589220127589265,0.3155,0.0439,0.0006,7.6458,1.6042,1.507,0.3077
1063,0.48,0.356073211552052,57.175154019473645,0.3483,0.069,0.0011,7.54,1.36,1.4674,0.5833
1064,0.2703,0.3903837178954641,56.88828723121235,0.3359,0.0391,0.0006,7.5405,1.2973,1.5115,0.25
1065,0.3019,0.4120909675590349,57.68176734155141,0.3651,0.0419,0.0009,7.1509,1.283,1.5123,0.5385
1066,0.3673,0.40804738110038125,56.563651333948606,0.3471,0.0295,0.0006,7.2857,1.0204,1.4586,0.3333
1067,0.4865,0.38868553936481476,55.12990194292211,0.3246,0.0688,0.0011,7.4595,1.2432,1.4403,0.8571
1068,0.35,0.41368097295031026,56.27184594989393,0.3541,0.0287,0.0004,7.75,0.7,1.4976,0.2727
1069,0.3448,0.3675787657171815,55.756539346883585,0.3143,0.0462,0.0007,7.5,1.3103,1.5231,0.4
1070,0.3947,0.39683719715982113,56.710073967699735,0.3132,0.0414,0.0005,7.1579,1.2105,1.4679,0.3333
1071,0.4103,0.34902936193911516,57.485082533916184,0.3084,0.0514,0.0007,7.5385,0.7949,1.4802,0.6923
1072,0.3696,0.36748292490980095,57.387964039387,0.2978,0.0574,0.0006,7.5652,1.2826,1.4765,0.3636
1073,0.4,0.38613235011814145,57.34962819817811,0.3517,0.0362,0.0007,7.84,1.24,1.4803,0.5
1074,0.4902,0.35188556589344716,57.24567335209948,0.3138,0.0576,0.001,7.5882,1.2353,1.4654,0.3846
1075,0.4902,0.3881050021464122,57.05108446314715,0.3527,0.057,0.0012,8.0,1.3333,1.4589,0.6154
1076,0.3953,0.38881841851841836,56.251268057596114,0.3452,0.0407,0.0006,7.093,1.2791,1.5,0.4615
1077,0.38,0.3852614272881105,57.33648870170461,0.3064,0.0441,0.0007,8.02,1.24,1.5087,0.6667
1078,0.3571,0.37276461863429783,56.21663843133793,0.3395,0.0492,0.001,7.381,1.3095,1.5018,0.3333
1079,0.3636,0.4021015730532971,56.47455361125233,0.3242,0.0352,0.0005,7.7455,1.0727,1.4615,0.1538
1080,0.5714,0.3714610783593882,55.7810645431214,0.357,0.0665,0.0014,7.8571,1.6735,1.4967,0.5833
1081,0.4286,0.356553615629673,56.725971666971844,0.3167,0.0335,0.0005,7.9796,1.1837,1.5167,0.4444
1082,0.3846,0.3555066283667118,57.74364457635608,0.3307,0.0581,0.0008,7.5,1.5769,1.5065,0.5
1083,0.4889,0.3779780850523994,56.533790579296294,0.3286,0.0494,0.0008,7.7111,2.0222,1.5143,0.6364
1084,0.4571,0.4142879291331812,59.213802980415984,0.3297,0.0562,0.0009,7.9714,1.0571,1.5018,0.4286
1085,0.5143,0.3921621502570386,57.21132097064324,0.3245,0.0384,0.0007,8.0286,1.5714,1.5434,0.5
1086,0.3548,0.3750113775801761,65.22376478792772,0.2918,0.0305,0.0008,8.9355,1.0323,1.5579,0.8
1087,0.5,0.32868476234533994,65.96517056929021,0.3776,0.023,0.0011,9.2105,1.3684,1.5831,0.5
1088,0.5357,0.3590251249926431,60.30398812066941,0.3048,0.0245,0.0006,9.25,1.3571,1.5095,0.5
1089,0.44,0.42002315772488513,61.83558037248962,0.3767,0.0292,0.0009,8.6,1.52,1.565,0.4286
1090,0.4048,0.3795223417026656,64.40857487633114,0.3571,0.0206,0.0009,9.2619,1.3571,1.5804,0.4
1091,0.4255,0.35093778293794364,64.78641486043081,0.356,0.019,0.0008,9.1064,1.8936,1.4843,0.3333
1092,0.3462,0.39797470991204426,61.917541085219966,0.2744,0.0257,0.0008,8.3077,1.1923,1.4268,0.5
1093,0.3333,0.4359786855868804,59.758921990027794,0.3538,0.0219,0.001,9.2333,1.2667,1.5692,0.6
1094,0.5313,0.32883994382126885,64.00302002125217,0.297,0.0281,0.0009,9.5,1.4063,1.5752,0.4286
1095,0.551,0.3806614288343833,61.72444143662086,0.3606,0.0287,0.001,8.7959,1.4286,1.4904,0.5625
1096,0.5526,0.3072370573565051,64.0670657458606,0.2973,0.0441,0.0015,8.4737,1.4211,1.5405,0.4286
1097,0.5278,0.3760720548806367,60.898844980310514,0.3556,0.0289,0.0011,9.25,1.0556,1.5407,0.3636
1098,0.575,0.32548978107457677,63.24360579598974,0.3213,0.0605,0.0014,9.475,1.65,1.5319,0.5
1099,0.55,0.35338838496551994,63.72866024866373,0.3166,0.0445,0.0014,9.225,1.375,1.5799,0.75
1100,0.4839,0.37994439295236615,64.01553449768952,0.337,0.0542,0.0017,9.4839,1.3871,1.5399,0.2857
